
Starting Nmap 6.40 ( http://nmap.org ) at 2022-10-27 11:00 CEST
Nmap scan report for 149.156.107.0
Nmap scan report for ktipm.ktipm.agh.edu.pl (149.156.107.1)
Nmap scan report for fractal.zet.agh.edu.pl (149.156.107.2)
Nmap scan report for chaos.zet.agh.edu.pl (149.156.107.3)
Nmap scan report for minolta.zet.agh.edu.pl (149.156.107.4)
Nmap scan report for sekret2.zet.agh.edu.pl (149.156.107.5)
Nmap scan report for chopin.zet.agh.edu.pl (149.156.107.6)
Nmap scan report for cirus.zet.agh.edu.pl (149.156.107.7)
Nmap scan report for volt.zet.agh.edu.pl (149.156.107.8)
Nmap scan report for watt.zet.agh.edu.pl (149.156.107.9)
Nmap scan report for amper.zet.agh.edu.pl (149.156.107.10)
Nmap scan report for wrd.zet.agh.edu.pl (149.156.107.11)
Nmap scan report for henr.zet.agh.edu.pl (149.156.107.12)
Nmap scan report for p115-3.zet.agh.edu.pl (149.156.107.13)
Nmap scan report for p111.zet.agh.edu.pl (149.156.107.14)
Nmap scan report for pcania.zet.agh.edu.pl (149.156.107.15)
Nmap scan report for alumina1.mn.agh.edu.pl (149.156.107.16)
Nmap scan report for prezes.zet.agh.edu.pl (149.156.107.17)
Nmap scan report for distalo.mn.agh.edu.pl (149.156.107.18)
Nmap scan report for 149.156.107.19
Nmap scan report for 149.156.107.20
Nmap scan report for bem.zet.agh.edu.pl (149.156.107.21)
Nmap scan report for gandalf.zet.agh.edu.pl (149.156.107.22)
Nmap scan report for fem.zet.agh.edu.pl (149.156.107.23)
Nmap scan report for diuna.zet.agh.edu.pl (149.156.107.24)
Nmap scan report for 149.156.107.25
Nmap scan report for 149.156.107.26
Nmap scan report for 149.156.107.27
Nmap scan report for 149.156.107.28
Nmap scan report for 149.156.107.29
Nmap scan report for ecctd03.zet.agh.edu.pl (149.156.107.30)
Nmap scan report for b3-komp2.zet.agh.edu.pl (149.156.107.31)
Nmap scan report for b3-komp3.zet.agh.edu.pl (149.156.107.32)
