
Starting Nmap 6.40 ( http://nmap.org ) at 2022-10-27 11:05 CEST
Nmap scan report for 149.156.114.0
Nmap scan report for prtr.kt.agh.edu.pl (149.156.114.1)
Nmap scan report for ns1.kt.agh.edu.pl (149.156.114.2)
Nmap scan report for saturn.kt.agh.edu.pl (149.156.114.3)
Nmap scan report for backup.kt.agh.edu.pl (149.156.114.4)
Nmap scan report for backup2.kt.agh.edu.pl (149.156.114.5)
Nmap scan report for archive.kt.agh.edu.pl (149.156.114.6)
Nmap scan report for wiki.kt.agh.edu.pl (149.156.114.7)
Nmap scan report for detres.kt.agh.edu.pl (149.156.114.8)
Nmap scan report for elproma.kt.agh.edu.pl (149.156.114.9)
Nmap scan report for homnibus.kt.agh.edu.pl (149.156.114.10)
Nmap scan report for vega.kt.agh.edu.pl (149.156.114.11)
Nmap scan report for mx.kt.agh.edu.pl (149.156.114.12)
Nmap scan report for swop.kt.agh.edu.pl (149.156.114.13)
Nmap scan report for kl.kt.agh.edu.pl (149.156.114.14)
Nmap scan report for fas0svmtmp.kt.agh.edu.pl (149.156.114.15)
Nmap scan report for detres-mail.kt.agh.edu.pl (149.156.114.16)
Nmap scan report for mdick.kt.agh.edu.pl (149.156.114.17)
Nmap scan report for aggr1.detres.kt.agh.edu.pl (149.156.114.18)
Nmap scan report for aggr2.detres.kt.agh.edu.pl (149.156.114.19)
Nmap scan report for proactive.kt.agh.edu.pl (149.156.114.20)
Nmap scan report for krysia.kt.agh.edu.pl (149.156.114.21)
Nmap scan report for optyme.kt.agh.edu.pl (149.156.114.22)
Nmap scan report for biblio.kt.agh.edu.pl (149.156.114.23)
Nmap scan report for pcwydrych.kt.agh.edu.pl (149.156.114.24)
Nmap scan report for zhn.kt.agh.edu.pl (149.156.114.25)
Nmap scan report for zeus.kt.agh.edu.pl (149.156.114.26)
Nmap scan report for cdmaserv.kt.agh.edu.pl (149.156.114.27)
Nmap scan report for pcaj.kt.agh.edu.pl (149.156.114.28)
Nmap scan report for rafi2.kt.agh.edu.pl (149.156.114.29)
Nmap scan report for pclason.kt.agh.edu.pl (149.156.114.30)
Nmap scan report for pczh.kt.agh.edu.pl (149.156.114.31)
Nmap scan report for ky4300parter.kt.agh.edu.pl (149.156.114.32)
Nmap scan report for facedev.kt.agh.edu.pl (149.156.114.33)
Nmap scan report for clifford.kt.agh.edu.pl (149.156.114.34)
Nmap scan report for andrzejs.kt.agh.edu.pl (149.156.114.35)
Nmap scan report for sonata.kt.agh.edu.pl (149.156.114.36)
Nmap scan report for posejdon.kt.agh.edu.pl (149.156.114.37)
Nmap scan report for nf.kt.agh.edu.pl (149.156.114.38)
Nmap scan report for submarine.kt.agh.edu.pl (149.156.114.39)
Nmap scan report for wldixi.kt.agh.edu.pl (149.156.114.40)
Nmap scan report for dt.kt.agh.edu.pl (149.156.114.41)
Nmap scan report for plichta.kt.agh.edu.pl (149.156.114.42)
Nmap scan report for nbkant.kt.agh.edu.pl (149.156.114.43)
Nmap scan report for backuptest.kt.agh.edu.pl (149.156.114.44)
Nmap scan report for pcpolak.kt.agh.edu.pl (149.156.114.45)
Nmap scan report for portage.kt.agh.edu.pl (149.156.114.46)
Nmap scan report for hp2025.kt.agh.edu.pl (149.156.114.47)
Nmap scan report for hp5m309.kt.agh.edu.pl (149.156.114.48)
Nmap scan report for confreg.auth.kt.agh.edu.pl (149.156.114.49)
