
Starting Nmap 6.40 ( http://nmap.org ) at 2022-10-27 10:56 CEST
Nmap scan report for dou2.adm.agh.edu.pl (149.156.103.99)
Nmap scan report for servis0.mn.agh.edu.pl (149.156.103.100)
Nmap scan report for servis1.mn.agh.edu.pl (149.156.103.101)
Nmap scan report for servis2.mn.agh.edu.pl (149.156.103.102)
Nmap scan report for servis3.mn.agh.edu.pl (149.156.103.103)
Nmap scan report for servis4.mn.agh.edu.pl (149.156.103.104)
Nmap scan report for servis5.mn.agh.edu.pl (149.156.103.105)
Nmap scan report for lbpr1.mn.agh.edu.pl (149.156.103.106)
Nmap scan report for lbpr2.mn.agh.edu.pl (149.156.103.107)
Nmap scan report for smyrak.mn.agh.edu.pl (149.156.103.108)
Nmap scan report for beata.mn.agh.edu.pl (149.156.103.109)
Nmap scan report for kwas.mn.agh.edu.pl (149.156.103.110)
Nmap scan report for tumida.mn.agh.edu.pl (149.156.103.111)
Nmap scan report for toudi.mn.agh.edu.pl (149.156.103.112)
Nmap scan report for pent3.mn.agh.edu.pl (149.156.103.113)
Nmap scan report for kawecki.mn.agh.edu.pl (149.156.103.114)
Nmap scan report for jtrela.mn.agh.edu.pl (149.156.103.115)
Nmap scan report for jarjan.mn.agh.edu.pl (149.156.103.116)
Nmap scan report for p113a2.mn.agh.edu.pl (149.156.103.117)
Nmap scan report for lab06-4.mn.agh.edu.pl (149.156.103.118)
Nmap scan report for lab02.mn.agh.edu.pl (149.156.103.119)
Nmap scan report for jpietrzyk.mn.agh.edu.pl (149.156.103.120)
Nmap scan report for pracme1.mn.agh.edu.pl (149.156.103.121)
Nmap scan report for pracme2.mn.agh.edu.pl (149.156.103.122)
Nmap scan report for szary.mn.agh.edu.pl (149.156.103.123)
Nmap scan report for marek.mn.agh.edu.pl (149.156.103.124)
Nmap scan report for mszczerba2.mn.agh.edu.pl (149.156.103.125)
Nmap scan report for rout208.mn.agh.edu.pl (149.156.103.126)
Nmap scan report for tom.mn.agh.edu.pl (149.156.103.127)
Nmap scan report for lab08-1.mn.agh.edu.pl (149.156.103.128)
Nmap scan report for cynk2.mn.agh.edu.pl (149.156.103.129)
Nmap scan report for ostachowski.mn.agh.edu.pl (149.156.103.130)
Nmap scan report for pk217d.mn.agh.edu.pl (149.156.103.131)
Nmap scan report for mm.mn.agh.edu.pl (149.156.103.132)
Nmap scan report for jh.mn.agh.edu.pl (149.156.103.133)
Nmap scan report for dziadhp.mn.agh.edu.pl (149.156.103.134)
Nmap scan report for pk217f.mn.agh.edu.pl (149.156.103.135)
Nmap scan report for hp210chf.mn.agh.edu.pl (149.156.103.136)
Nmap scan report for drk217.mn.agh.edu.pl (149.156.103.137)
Nmap scan report for max32x.mn.agh.edu.pl (149.156.103.138)
Nmap scan report for pijar2.mn.agh.edu.pl (149.156.103.139)
Nmap scan report for rigaku.mn.agh.edu.pl (149.156.103.140)
Nmap scan report for madzia.mn.agh.edu.pl (149.156.103.141)
Nmap scan report for bloch.mn.agh.edu.pl (149.156.103.142)
Nmap scan report for stamal.mn.agh.edu.pl (149.156.103.143)
Nmap scan report for jkbmobile.mn.agh.edu.pl (149.156.103.144)
Nmap scan report for dou10.adm.agh.edu.pl (149.156.103.145)
Nmap scan report for dou4.adm.agh.edu.pl (149.156.103.146)
Nmap scan report for dou11.adm.agh.edu.pl (149.156.103.147)
Nmap scan report for 149.156.103.148
Nmap scan report for cttserver.mn.agh.edu.pl (149.156.103.149)
Nmap scan report for mika.mn.agh.edu.pl (149.156.103.150)
Nmap scan report for p222-1.mn.agh.edu.pl (149.156.103.151)
Nmap scan report for monika.mn.agh.edu.pl (149.156.103.152)
Nmap scan report for p221-3.mn.agh.edu.pl (149.156.103.153)
Nmap scan report for 149.156.103.154
Nmap scan report for p221-2.mn.agh.edu.pl (149.156.103.155)
Nmap scan report for selene.mn.agh.edu.pl (149.156.103.156)
Nmap scan report for dsc.mn.agh.edu.pl (149.156.103.157)
Nmap scan report for elektro.mn.agh.edu.pl (149.156.103.158)
Nmap scan report for mikro.mn.agh.edu.pl (149.156.103.159)
Nmap scan report for instron.mn.agh.edu.pl (149.156.103.160)
Nmap scan report for kom1.mn.agh.edu.pl (149.156.103.161)
Nmap scan report for bogus.mn.agh.edu.pl (149.156.103.162)
Nmap scan report for bib.mn.agh.edu.pl (149.156.103.163)
Nmap scan report for doc2.mn.agh.edu.pl (149.156.103.164)
Nmap scan report for fitzn.mn.agh.edu.pl (149.156.103.165)
Nmap scan report for sem.mn.agh.edu.pl (149.156.103.166)
Nmap scan report for pijar.mn.agh.edu.pl (149.156.103.167)
Nmap scan report for motyl.mn.agh.edu.pl (149.156.103.168)
Nmap scan report for wycisk2.mn.agh.edu.pl (149.156.103.169)
Nmap scan report for baszta.mn.agh.edu.pl (149.156.103.170)
Nmap scan report for instron2.mn.agh.edu.pl (149.156.103.171)
Nmap scan report for canon2.mn.agh.edu.pl (149.156.103.172)
Nmap scan report for danusia.mn.agh.edu.pl (149.156.103.173)
Nmap scan report for biblioteka-1.mn.agh.edu.pl (149.156.103.174)
Nmap scan report for art.mn.agh.edu.pl (149.156.103.175)
Nmap scan report for md.mn.agh.edu.pl (149.156.103.176)
Nmap scan report for 149.156.103.177
Nmap scan report for 149.156.103.178
Nmap scan report for biblioteka-2.mn.agh.edu.pl (149.156.103.179)
Nmap scan report for biblioteka-3.mn.agh.edu.pl (149.156.103.180)
Nmap scan report for p112.mn.agh.edu.pl (149.156.103.181)
Nmap scan report for otto.mn.agh.edu.pl (149.156.103.182)
Nmap scan report for pentium3.mn.agh.edu.pl (149.156.103.183)
Nmap scan report for pokoj4.mn.agh.edu.pl (149.156.103.184)
Nmap scan report for mes0.mn.agh.edu.pl (149.156.103.185)
Nmap scan report for lab08-2.mn.agh.edu.pl (149.156.103.186)
Nmap scan report for ctt.mn.agh.edu.pl (149.156.103.187)
Nmap scan report for lab-12.mn.agh.edu.pl (149.156.103.188)
Nmap scan report for lab-13.mn.agh.edu.pl (149.156.103.189)
Nmap scan report for jot13.mn.agh.edu.pl (149.156.103.190)
Nmap scan report for dar1.mn.agh.edu.pl (149.156.103.191)
Nmap scan report for pnor.mn.agh.edu.pl (149.156.103.192)
Nmap scan report for kawon2.mn.agh.edu.pl (149.156.103.193)
Nmap scan report for mts880.mn.agh.edu.pl (149.156.103.194)
Nmap scan report for lena.mn.agh.edu.pl (149.156.103.195)
Nmap scan report for p115-1.mn.agh.edu.pl (149.156.103.196)
Nmap scan report for p115-2.mn.agh.edu.pl (149.156.103.197)
Nmap scan report for lab08-3.mn.agh.edu.pl (149.156.103.198)
Nmap scan report for tosia.mn.agh.edu.pl (149.156.103.199)
Nmap scan report for nessie.mn.agh.edu.pl (149.156.103.200)
Nmap scan report for 149.156.103.201
Nmap scan report for kier.mn.agh.edu.pl (149.156.103.202)
Nmap scan report for karo.mn.agh.edu.pl (149.156.103.203)
Nmap scan report for dareklesniak.mn.agh.edu.pl (149.156.103.204)
Nmap scan report for 149.156.103.205
Nmap scan report for 149.156.103.206
Nmap scan report for kpwpl.mn.agh.edu.pl (149.156.103.207)
Nmap scan report for lab-09.mn.agh.edu.pl (149.156.103.208)
Nmap scan report for kozi.mn.agh.edu.pl (149.156.103.209)
Nmap scan report for aga.mn.agh.edu.pl (149.156.103.210)
Nmap scan report for p115-3.mn.agh.edu.pl (149.156.103.211)
Nmap scan report for p115-4.mn.agh.edu.pl (149.156.103.212)
Nmap scan report for bbor.mn.agh.edu.pl (149.156.103.213)
Nmap scan report for extrusion.mn.agh.edu.pl (149.156.103.214)
Nmap scan report for blister.mn.agh.edu.pl (149.156.103.215)
Nmap scan report for kawon3.mn.agh.edu.pl (149.156.103.216)
Nmap scan report for lbpr4.mn.agh.edu.pl (149.156.103.217)
Nmap scan report for lbpr5.mn.agh.edu.pl (149.156.103.218)
Nmap scan report for dou3.adm.agh.edu.pl (149.156.103.219)
Nmap scan report for p315mobil.mn.agh.edu.pl (149.156.103.220)
Nmap scan report for 149.156.103.221
Nmap scan report for 149.156.103.222
Nmap scan report for piekrz.mn.agh.edu.pl (149.156.103.223)
Nmap scan report for dou8.adm.agh.edu.pl (149.156.103.224)
Nmap scan report for dou7.adm.agh.edu.pl (149.156.103.225)
Nmap scan report for 149.156.103.226
Nmap scan report for 149.156.103.227
Nmap scan report for 149.156.103.228
Nmap scan report for 149.156.103.229
Nmap scan report for jakub.mn.agh.edu.pl (149.156.103.230)
Nmap scan report for doctor.mn.agh.edu.pl (149.156.103.231)
Nmap scan report for listopad.mn.agh.edu.pl (149.156.103.232)
Nmap scan report for tomek.mn.agh.edu.pl (149.156.103.233)
Nmap scan report for 149.156.103.234
Nmap scan report for 149.156.103.235
Nmap scan report for p-218.mn.agh.edu.pl (149.156.103.236)
Nmap scan report for p-309-1.mn.agh.edu.pl (149.156.103.237)
Nmap scan report for perseusz.mn.agh.edu.pl (149.156.103.238)
Nmap scan report for agata.mn.agh.edu.pl (149.156.103.239)
Nmap scan report for 149.156.103.240
Nmap scan report for rek1.mn.agh.edu.pl (149.156.103.241)
Nmap scan report for 149.156.103.242
Nmap scan report for mszczerba.mn.agh.edu.pl (149.156.103.243)
Nmap scan report for 149.156.103.244
Nmap scan report for ha-203.mn.agh.edu.pl (149.156.103.245)
Nmap scan report for lab06-5.mn.agh.edu.pl (149.156.103.246)
Nmap scan report for p216-1.mn.agh.edu.pl (149.156.103.247)
Nmap scan report for dtphost.mn.agh.edu.pl (149.156.103.248)
Nmap scan report for witch.mn.agh.edu.pl (149.156.103.249)
Nmap scan report for ucirtr.agh.edu.pl (149.156.103.250)
Nmap scan report for psv-serw.mn.agh.edu.pl (149.156.103.251)
Nmap scan report for 149.156.103.252
Nmap scan report for 149.156.103.253
Nmap scan report for 149.156.103.254
Nmap scan report for 149.156.103.255
Nmap done: 256 IP addresses (0 hosts up) scanned in 11.01 seconds
