
Starting Nmap 6.40 ( http://nmap.org ) at 2022-10-27 11:05 CEST
Nmap scan report for 149.156.116.0
Nmap scan report for kcs1.ceramika.agh.edu.pl (149.156.116.1)
Nmap scan report for kcs2.ceramika.agh.edu.pl (149.156.116.2)
Nmap scan report for kcs3.ceramika.agh.edu.pl (149.156.116.3)
Nmap scan report for kct1.ceramika.agh.edu.pl (149.156.116.4)
Nmap scan report for kse1.ceramika.agh.edu.pl (149.156.116.5)
Nmap scan report for zmb5.ceramika.agh.edu.pl (149.156.116.6)
Nmap scan report for kca3.ceramika.agh.edu.pl (149.156.116.7)
Nmap scan report for kca2.ceramika.agh.edu.pl (149.156.116.8)
Nmap scan report for kca1.ceramika.agh.edu.pl (149.156.116.9)
Nmap scan report for zmb3.ceramika.agh.edu.pl (149.156.116.10)
Nmap scan report for zmb4.ceramika.agh.edu.pl (149.156.116.11)
Nmap scan report for dzk.ceramika.agh.edu.pl (149.156.116.12)
Nmap scan report for kcs4.ceramika.agh.edu.pl (149.156.116.13)
Nmap scan report for zkc8.ceramika.agh.edu.pl (149.156.116.14)
Nmap scan report for zkc9.ceramika.agh.edu.pl (149.156.116.15)
Nmap scan report for bpb.ceramika.agh.edu.pl (149.156.116.16)
Nmap scan report for 149.156.116.17
Nmap scan report for 149.156.116.18
Nmap scan report for kct2.ceramika.agh.edu.pl (149.156.116.19)
Nmap scan report for zmb6.ceramika.agh.edu.pl (149.156.116.20)
Nmap scan report for kct3.ceramika.agh.edu.pl (149.156.116.21)
Nmap scan report for kct4.ceramika.agh.edu.pl (149.156.116.22)
Nmap scan report for kse2.ceramika.agh.edu.pl (149.156.116.23)
Nmap scan report for kse3.ceramika.agh.edu.pl (149.156.116.24)
Nmap scan report for student1.ceramika.agh.edu.pl (149.156.116.25)
Nmap scan report for zmb7.ceramika.agh.edu.pl (149.156.116.26)
Nmap scan report for kse4.ceramika.agh.edu.pl (149.156.116.27)
Nmap scan report for 149.156.116.28
Nmap scan report for kca4.ceramika.agh.edu.pl (149.156.116.29)
Nmap scan report for zmb8.ceramika.agh.edu.pl (149.156.116.30)
Nmap scan report for kcs5.ceramika.agh.edu.pl (149.156.116.31)
Nmap scan report for zkc5.ceramika.agh.edu.pl (149.156.116.32)
Nmap scan report for kcs7.ceramika.agh.edu.pl (149.156.116.33)
Nmap scan report for kcs8.ceramika.agh.edu.pl (149.156.116.34)
Nmap scan report for biblio.ceramika.agh.edu.pl (149.156.116.35)
Nmap scan report for zmb9.ceramika.agh.edu.pl (149.156.116.36)
Nmap scan report for kcs10.ceramika.agh.edu.pl (149.156.116.37)
Nmap scan report for kca5.ceramika.agh.edu.pl (149.156.116.38)
Nmap scan report for kca6.ceramika.agh.edu.pl (149.156.116.39)
Nmap scan report for kct5.ceramika.agh.edu.pl (149.156.116.40)
Nmap scan report for kct6.ceramika.agh.edu.pl (149.156.116.41)
Nmap scan report for kcs9.ceramika.agh.edu.pl (149.156.116.42)
Nmap scan report for kct7.ceramika.agh.edu.pl (149.156.116.43)
Nmap scan report for cadiff.ceramika.agh.edu.pl (149.156.116.44)
Nmap scan report for kse5.ceramika.agh.edu.pl (149.156.116.45)
Nmap scan report for kcs11.ceramika.agh.edu.pl (149.156.116.46)
Nmap scan report for 149.156.116.47
Nmap scan report for 149.156.116.48
Nmap scan report for 149.156.116.49
Nmap scan report for zmb10.ceramika.agh.edu.pl (149.156.116.50)
Nmap scan report for zmb11.ceramika.agh.edu.pl (149.156.116.51)
Nmap scan report for zmb12.ceramika.agh.edu.pl (149.156.116.52)
Nmap scan report for kca7.ceramika.agh.edu.pl (149.156.116.53)
Nmap scan report for zmb13.ceramika.agh.edu.pl (149.156.116.54)
Nmap scan report for zmb14.ceramika.agh.edu.pl (149.156.116.55)
Nmap scan report for zmb15.ceramika.agh.edu.pl (149.156.116.56)
Nmap scan report for kcs12.ceramika.agh.edu.pl (149.156.116.57)
Nmap scan report for kcs13.ceramika.agh.edu.pl (149.156.116.58)
Nmap scan report for kcs14.ceramika.agh.edu.pl (149.156.116.59)
Nmap scan report for kcs15.ceramika.agh.edu.pl (149.156.116.60)
