
Starting Nmap 6.40 ( http://nmap.org ) at 2022-10-27 11:00 CEST
Nmap scan report for 149.156.106.0
Nmap scan report for wimir-001.imir.agh.edu.pl (149.156.106.1)
Nmap scan report for wimir-002.imir.agh.edu.pl (149.156.106.2)
Nmap scan report for wimir-003.imir.agh.edu.pl (149.156.106.3)
Nmap scan report for wimir-004.imir.agh.edu.pl (149.156.106.4)
Nmap scan report for wimir-005.imir.agh.edu.pl (149.156.106.5)
Nmap scan report for wimir-006.imir.agh.edu.pl (149.156.106.6)
Nmap scan report for gandawa.imir.agh.edu.pl (149.156.106.7)
Nmap scan report for IreZaj.imir.agh.edu.pl (149.156.106.8)
Nmap scan report for LidiS.imir.agh.edu.pl (149.156.106.9)
Nmap scan report for 149.156.106.10
Nmap scan report for 149.156.106.11
Nmap scan report for 149.156.106.12
Nmap scan report for 149.156.106.13
Nmap scan report for 149.156.106.14
Nmap scan report for 149.156.106.15
Nmap scan report for 149.156.106.16
Nmap scan report for 149.156.106.17
Nmap scan report for 149.156.106.18
Nmap scan report for proffs.imir.agh.edu.pl (149.156.106.19)
Nmap scan report for eostrow.imir.agh.edu.pl (149.156.106.20)
Nmap scan report for rpress1.imir.agh.edu.pl (149.156.106.21)
Nmap scan report for rpress2.imir.agh.edu.pl (149.156.106.22)
Nmap scan report for rpress3.imir.agh.edu.pl (149.156.106.23)
Nmap scan report for rpress4.imir.agh.edu.pl (149.156.106.24)
Nmap scan report for rpress5.imir.agh.edu.pl (149.156.106.25)
Nmap scan report for rpress6.imir.agh.edu.pl (149.156.106.26)
Nmap scan report for rpress7.imir.agh.edu.pl (149.156.106.27)
Nmap scan report for rpress8.imir.agh.edu.pl (149.156.106.28)
Nmap scan report for rpress9.imir.agh.edu.pl (149.156.106.29)
Nmap scan report for rpress10.imir.agh.edu.pl (149.156.106.30)
Nmap scan report for rokitom.imir.agh.edu.pl (149.156.106.31)
Nmap scan report for kuleczka.imir.agh.edu.pl (149.156.106.32)
Nmap scan report for oleksy.imir.agh.edu.pl (149.156.106.33)
Nmap scan report for jurkwasn.imir.agh.edu.pl (149.156.106.34)
Nmap scan report for tytko.imir.agh.edu.pl (149.156.106.35)
Nmap scan report for wojcik.imir.agh.edu.pl (149.156.106.36)
Nmap scan report for plachno.imir.agh.edu.pl (149.156.106.37)
Nmap scan report for blecharz.imir.agh.edu.pl (149.156.106.38)
Nmap scan report for ktl-s1.imir.agh.edu.pl (149.156.106.39)
Nmap scan report for ktl-s2.imir.agh.edu.pl (149.156.106.40)
Nmap scan report for hansel.imir.agh.edu.pl (149.156.106.41)
Nmap scan report for kawecki.imir.agh.edu.pl (149.156.106.42)
Nmap scan report for lankosz.imir.agh.edu.pl (149.156.106.43)
Nmap scan report for 149.156.106.44
Nmap scan report for wojcik-2.imir.agh.edu.pl (149.156.106.45)
Nmap scan report for koszyk.imir.agh.edu.pl (149.156.106.46)
Nmap scan report for ktl-p1.imir.agh.edu.pl (149.156.106.47)
Nmap scan report for molski.imir.agh.edu.pl (149.156.106.48)
Nmap scan report for ktl-xxx.imir.agh.edu.pl (149.156.106.49)
Nmap scan report for kpb-050.imir.agh.edu.pl (149.156.106.50)
Nmap scan report for kaja.imir.agh.edu.pl (149.156.106.51)
Nmap scan report for daniel.imir.agh.edu.pl (149.156.106.52)
Nmap scan report for adam.imir.agh.edu.pl (149.156.106.53)
Nmap scan report for kpb-054.imir.agh.edu.pl (149.156.106.54)
Nmap scan report for kpb-055.imir.agh.edu.pl (149.156.106.55)
Nmap scan report for kpb-056.imir.agh.edu.pl (149.156.106.56)
Nmap scan report for kpb-057.imir.agh.edu.pl (149.156.106.57)
Nmap scan report for kpb-058.imir.agh.edu.pl (149.156.106.58)
Nmap scan report for cesar.imir.agh.edu.pl (149.156.106.59)
Nmap scan report for kpb-060.imir.agh.edu.pl (149.156.106.60)
Nmap scan report for kpb-061.imir.agh.edu.pl (149.156.106.61)
Nmap scan report for kpb-062.imir.agh.edu.pl (149.156.106.62)
Nmap scan report for tribos2.imir.agh.edu.pl (149.156.106.63)
Nmap scan report for tribos1.imir.agh.edu.pl (149.156.106.64)
Nmap scan report for rakowski.imir.agh.edu.pl (149.156.106.65)
Nmap scan report for Ladecki.imir.agh.edu.pl (149.156.106.66)
Nmap scan report for wyt1.imir.agh.edu.pl (149.156.106.67)
Nmap scan report for mes.imir.agh.edu.pl (149.156.106.68)
Nmap scan report for mes2.imir.agh.edu.pl (149.156.106.69)
Nmap scan report for pkm.imir.agh.edu.pl (149.156.106.70)
Nmap scan report for jburkiew.imir.agh.edu.pl (149.156.106.71)
Nmap scan report for PKM.imir.agh.edu.pl (149.156.106.72)
Nmap scan report for TomLata.imir.agh.edu.pl (149.156.106.73)
Nmap scan report for Edyta.imir.agh.edu.pl (149.156.106.74)
Nmap scan report for podstawy.imir.agh.edu.pl (149.156.106.75)
Nmap scan report for klepta.imir.agh.edu.pl (149.156.106.76)
Nmap scan report for gulipin.imir.agh.edu.pl (149.156.106.77)
Nmap scan report for voce.imir.agh.edu.pl (149.156.106.78)
Nmap scan report for jeta.imir.agh.edu.pl (149.156.106.79)
Nmap scan report for ZacharaK.imir.agh.edu.pl (149.156.106.80)
Nmap scan report for Zimowski.imir.agh.edu.pl (149.156.106.81)
Nmap scan report for SZimows.imir.agh.edu.pl (149.156.106.82)
Nmap scan report for Mlody.imir.agh.edu.pl (149.156.106.83)
Nmap scan report for JSzybka.imir.agh.edu.pl (149.156.106.84)
Nmap scan report for KotMarc.imir.agh.edu.pl (149.156.106.85)
Nmap scan report for ewa2.imir.agh.edu.pl (149.156.106.86)
Nmap scan report for Skwirek.imir.agh.edu.pl (149.156.106.87)
Nmap scan report for Icon.imir.agh.edu.pl (149.156.106.88)
Nmap scan report for MKwiet.imir.agh.edu.pl (149.156.106.89)
Nmap scan report for B2-302.imir.agh.edu.pl (149.156.106.90)
Nmap scan report for B2-323.imir.agh.edu.pl (149.156.106.91)
Nmap scan report for gradk.imir.agh.edu.pl (149.156.106.92)
Nmap scan report for dpilch.imir.agh.edu.pl (149.156.106.93)
Nmap scan report for Zachara3.imir.agh.edu.pl (149.156.106.94)
Nmap scan report for blum.imir.agh.edu.pl (149.156.106.95)
Nmap scan report for B2-214B.imir.agh.edu.pl (149.156.106.96)
Nmap scan report for zszydlo2.imir.agh.edu.pl (149.156.106.97)
Nmap scan report for Zachara2.imir.agh.edu.pl (149.156.106.98)
Nmap scan report for Dudraf2.imir.agh.edu.pl (149.156.106.99)
Nmap scan report for kkiem01.imir.agh.edu.pl (149.156.106.100)
Nmap scan report for kap-101.imir.agh.edu.pl (149.156.106.101)
Nmap scan report for kap-102.imir.agh.edu.pl (149.156.106.102)
Nmap scan report for kap-103.imir.agh.edu.pl (149.156.106.103)
Nmap scan report for kap-104.imir.agh.edu.pl (149.156.106.104)
Nmap scan report for kap-105.imir.agh.edu.pl (149.156.106.105)
Nmap scan report for kap-106.imir.agh.edu.pl (149.156.106.106)
Nmap scan report for kap-107.imir.agh.edu.pl (149.156.106.107)
Nmap scan report for kap-108.imir.agh.edu.pl (149.156.106.108)
Nmap scan report for kap-109.imir.agh.edu.pl (149.156.106.109)
Nmap scan report for kap-110.imir.agh.edu.pl (149.156.106.110)
Nmap scan report for kap-111.imir.agh.edu.pl (149.156.106.111)
Nmap scan report for kap-112.imir.agh.edu.pl (149.156.106.112)
Nmap scan report for kap-113.imir.agh.edu.pl (149.156.106.113)
Nmap scan report for kap-114.imir.agh.edu.pl (149.156.106.114)
Nmap scan report for kap-115.imir.agh.edu.pl (149.156.106.115)
Nmap scan report for kap-116.imir.agh.edu.pl (149.156.106.116)
Nmap scan report for kap-117.imir.agh.edu.pl (149.156.106.117)
Nmap scan report for kap-118.imir.agh.edu.pl (149.156.106.118)
Nmap scan report for kap-119.imir.agh.edu.pl (149.156.106.119)
Nmap scan report for kap-120.imir.agh.edu.pl (149.156.106.120)
Nmap scan report for kap-121.imir.agh.edu.pl (149.156.106.121)
Nmap scan report for kap-122.imir.agh.edu.pl (149.156.106.122)
Nmap scan report for kap-123.imir.agh.edu.pl (149.156.106.123)
Nmap scan report for kap-124.imir.agh.edu.pl (149.156.106.124)
Nmap scan report for kap-125.imir.agh.edu.pl (149.156.106.125)
Nmap scan report for kap-126.imir.agh.edu.pl (149.156.106.126)
Nmap scan report for kap-127.imir.agh.edu.pl (149.156.106.127)
Nmap scan report for kap-128.imir.agh.edu.pl (149.156.106.128)
Nmap scan report for kap-129.imir.agh.edu.pl (149.156.106.129)
Nmap scan report for kap-130.imir.agh.edu.pl (149.156.106.130)
Nmap scan report for kap-131.imir.agh.edu.pl (149.156.106.131)
Nmap scan report for kap-132.imir.agh.edu.pl (149.156.106.132)
Nmap scan report for kap-133.imir.agh.edu.pl (149.156.106.133)
Nmap scan report for kap-134.imir.agh.edu.pl (149.156.106.134)
Nmap scan report for kap-135.imir.agh.edu.pl (149.156.106.135)
Nmap scan report for kap-136.imir.agh.edu.pl (149.156.106.136)
Nmap scan report for kap-137.imir.agh.edu.pl (149.156.106.137)
Nmap scan report for kap-138.imir.agh.edu.pl (149.156.106.138)
Nmap scan report for kap-139.imir.agh.edu.pl (149.156.106.139)
Nmap scan report for kap-140.imir.agh.edu.pl (149.156.106.140)
Nmap scan report for kap-141.imir.agh.edu.pl (149.156.106.141)
Nmap scan report for kap-142.imir.agh.edu.pl (149.156.106.142)
Nmap scan report for kap-143.imir.agh.edu.pl (149.156.106.143)
Nmap scan report for kap-144.imir.agh.edu.pl (149.156.106.144)
Nmap scan report for kap-145.imir.agh.edu.pl (149.156.106.145)
Nmap scan report for kap-146.imir.agh.edu.pl (149.156.106.146)
Nmap scan report for kap-147.imir.agh.edu.pl (149.156.106.147)
Nmap scan report for kap-148.imir.agh.edu.pl (149.156.106.148)
Nmap scan report for kap-149.imir.agh.edu.pl (149.156.106.149)
Nmap scan report for kap-150.imir.agh.edu.pl (149.156.106.150)
Nmap scan report for KMG-151.imir.agh.edu.pl (149.156.106.151)
Nmap scan report for KMG-152.imir.agh.edu.pl (149.156.106.152)
Nmap scan report for KMG-153.imir.agh.edu.pl (149.156.106.153)
Nmap scan report for pr-pom.imir.agh.edu.pl (149.156.106.154)
Nmap scan report for KMG-155.imir.agh.edu.pl (149.156.106.155)
Nmap scan report for KFurman.imir.agh.edu.pl (149.156.106.156)
Nmap scan report for KMG-157.imir.agh.edu.pl (149.156.106.157)
Nmap scan report for KMG-158.imir.agh.edu.pl (149.156.106.158)
Nmap scan report for KMG-159.imir.agh.edu.pl (149.156.106.159)
Nmap scan report for KMG-160.imir.agh.edu.pl (149.156.106.160)
Nmap scan report for feliks.imir.agh.edu.pl (149.156.106.161)
Nmap scan report for filipow.imir.agh.edu.pl (149.156.106.162)
Nmap scan report for szef-kmg.imir.agh.edu.pl (149.156.106.163)
Nmap scan report for banaszew2.imir.agh.edu.pl (149.156.106.164)
Nmap scan report for Res.imir.agh.edu.pl (149.156.106.165)
Nmap scan report for KMG-166.imir.agh.edu.pl (149.156.106.166)
Nmap scan report for Gospodarczyk.imir.agh.edu.pl (149.156.106.167)
Nmap scan report for Gospodarczyk2.imir.agh.edu.pl (149.156.106.168)
Nmap scan report for Patalita.imir.agh.edu.pl (149.156.106.169)
Nmap scan report for Sekretariat-KMG.imir.agh.edu.pl (149.156.106.170)
Nmap scan report for Kalukiewicz.imir.agh.edu.pl (149.156.106.171)
Nmap scan report for KMG-Korytarz.imir.agh.edu.pl (149.156.106.172)
Nmap scan report for Kobialka.imir.agh.edu.pl (149.156.106.173)
Nmap scan report for RJablonski.imir.agh.edu.pl (149.156.106.174)
Nmap scan report for Kotwica2.imir.agh.edu.pl (149.156.106.175)
Nmap scan report for Kulinow2.imir.agh.edu.pl (149.156.106.176)
Nmap scan report for Stefan2.imir.agh.edu.pl (149.156.106.177)
Nmap scan report for St-W.imir.agh.edu.pl (149.156.106.178)
Nmap scan report for JanMar.imir.agh.edu.pl (149.156.106.179)
Nmap scan report for 149.156.106.180
Nmap scan report for samStu1.imir.agh.edu.pl (149.156.106.181)
Nmap scan report for samStu2.imir.agh.edu.pl (149.156.106.182)
Nmap scan report for samStu3.imir.agh.edu.pl (149.156.106.183)
Nmap scan report for samStu4.imir.agh.edu.pl (149.156.106.184)
Nmap scan report for swpdm.imir.agh.edu.pl (149.156.106.185)
Nmap scan report for 149.156.106.186
Nmap scan report for 149.156.106.187
Nmap scan report for kmg-prac0.imir.agh.edu.pl (149.156.106.188)
Nmap scan report for kmg-prac1.imir.agh.edu.pl (149.156.106.189)
Nmap scan report for B2-211.imir.agh.edu.pl (149.156.106.190)
Nmap scan report for B2-215.imir.agh.edu.pl (149.156.106.191)
Nmap scan report for B2-307.imir.agh.edu.pl (149.156.106.192)
Nmap scan report for B2-310.imir.agh.edu.pl (149.156.106.193)
Nmap scan report for 149.156.106.194
Nmap scan report for lwm1.imir.agh.edu.pl (149.156.106.195)
Nmap scan report for lwm2.imir.agh.edu.pl (149.156.106.196)
Nmap scan report for lwm3.imir.agh.edu.pl (149.156.106.197)
Nmap scan report for lwm4.imir.agh.edu.pl (149.156.106.198)
Nmap scan report for lwm5.imir.agh.edu.pl (149.156.106.199)
Nmap scan report for twwm.imir.agh.edu.pl (149.156.106.200)
Nmap scan report for lwm6.imir.agh.edu.pl (149.156.106.201)
Nmap scan report for lwm7.imir.agh.edu.pl (149.156.106.202)
Nmap scan report for wesoly.imir.agh.edu.pl (149.156.106.203)
Nmap scan report for StWolny.imir.agh.edu.pl (149.156.106.204)
Nmap scan report for Lata.imir.agh.edu.pl (149.156.106.205)
Nmap scan report for Darek2.imir.agh.edu.pl (149.156.106.206)
Nmap scan report for ansyskwzmik.imir.agh.edu.pl (149.156.106.207)
Nmap scan report for nalepkaa.imir.agh.edu.pl (149.156.106.208)
