
Starting Nmap 6.40 ( http://nmap.org ) at 2022-10-27 10:58 CEST
Nmap scan report for 149.156.104.0
Nmap scan report for geolog.geol.agh.edu.pl (149.156.104.1)
Nmap scan report for slc1.geol.agh.edu.pl (149.156.104.2)
Nmap scan report for 149.156.104.3
Nmap scan report for lx1.geol.agh.edu.pl (149.156.104.4)
Nmap scan report for lx2.geol.agh.edu.pl (149.156.104.5)
Nmap scan report for lx3.geol.agh.edu.pl (149.156.104.6)
Nmap scan report for agh1.geol.agh.edu.pl (149.156.104.7)
Nmap scan report for mayer.geol.agh.edu.pl (149.156.104.8)
Nmap scan report for pc-oper1.geol.agh.edu.pl (149.156.104.9)
Nmap scan report for lasocki.geol.agh.edu.pl (149.156.104.10)
Nmap scan report for pc1.geol.agh.edu.pl (149.156.104.11)
Nmap scan report for pc2.geol.agh.edu.pl (149.156.104.12)
Nmap scan report for wil.linux.krakow.pl (149.156.104.13)
Nmap scan report for zse13.geol.agh.edu.pl (149.156.104.14)
Nmap scan report for pc5.geol.agh.edu.pl (149.156.104.15)
Nmap scan report for pc6.geol.agh.edu.pl (149.156.104.16)
Nmap scan report for pc7.geol.agh.edu.pl (149.156.104.17)
Nmap scan report for pc8.geol.agh.edu.pl (149.156.104.18)
Nmap scan report for zaneta.geol.agh.edu.pl (149.156.104.19)
Nmap scan report for pc10.geol.agh.edu.pl (149.156.104.20)
Nmap scan report for pc11.geol.agh.edu.pl (149.156.104.21)
Nmap scan report for pc12.geol.agh.edu.pl (149.156.104.22)
Nmap scan report for pc13.geol.agh.edu.pl (149.156.104.23)
Nmap scan report for bobulski.geol.agh.edu.pl (149.156.104.24)
Nmap scan report for pc15.geol.agh.edu.pl (149.156.104.25)
Nmap scan report for pc16.geol.agh.edu.pl (149.156.104.26)
Nmap scan report for zin1.geol.agh.edu.pl (149.156.104.27)
Nmap scan report for zin2.geol.agh.edu.pl (149.156.104.28)
Nmap scan report for zin3.geol.agh.edu.pl (149.156.104.29)
Nmap scan report for pc20.geol.agh.edu.pl (149.156.104.30)
Nmap scan report for pc21.geol.agh.edu.pl (149.156.104.31)
Nmap scan report for pc22.geol.agh.edu.pl (149.156.104.32)
Nmap scan report for 149.156.104.33
Nmap scan report for 149.156.104.34
Nmap scan report for krobicki.geol.agh.edu.pl (149.156.104.35)
Nmap scan report for marcak.geol.agh.edu.pl (149.156.104.36)
Nmap scan report for herzig.geol.agh.edu.pl (149.156.104.37)
Nmap scan report for sanocki.geol.agh.edu.pl (149.156.104.38)
Nmap scan report for lab.geol.agh.edu.pl (149.156.104.39)
Nmap scan report for 149.156.104.40
Nmap scan report for majewska.geol.agh.edu.pl (149.156.104.41)
Nmap scan report for bugajski.geol.agh.edu.pl (149.156.104.42)
Nmap scan report for dec.geol.agh.edu.pl (149.156.104.43)
Nmap scan report for mkrapiec.geol.agh.edu.pl (149.156.104.44)
Nmap scan report for tbartus.geol.agh.edu.pl (149.156.104.45)
Nmap scan report for moscicki.geol.agh.edu.pl (149.156.104.46)
Nmap scan report for pieczka.geol.agh.edu.pl (149.156.104.47)
Nmap scan report for rentgen.geol.agh.edu.pl (149.156.104.48)
Nmap scan report for ultra1.geol.agh.edu.pl (149.156.104.49)
Nmap scan report for valkiria.geol.agh.edu.pl (149.156.104.50)
Nmap scan report for bogusz.geol.agh.edu.pl (149.156.104.51)
Nmap scan report for wmastej.geol.agh.edu.pl (149.156.104.52)
Nmap scan report for wojtek.geol.agh.edu.pl (149.156.104.53)
Nmap scan report for nato.geol.agh.edu.pl (149.156.104.54)
Nmap scan report for ekrapiec.geol.agh.edu.pl (149.156.104.55)
Nmap scan report for lrajchel.geol.agh.edu.pl (149.156.104.56)
Nmap scan report for manecki.geol.agh.edu.pl (149.156.104.57)
Nmap scan report for tarkowski.geol.agh.edu.pl (149.156.104.58)
Nmap scan report for los.geol.agh.edu.pl (149.156.104.59)
Nmap scan report for ksemiekinia.geol.agh.edu.pl (149.156.104.60)
Nmap scan report for chrzastek.geol.agh.edu.pl (149.156.104.61)
Nmap scan report for gorniak.geol.agh.edu.pl (149.156.104.62)
Nmap scan report for rybicki.geol.agh.edu.pl (149.156.104.63)
Nmap scan report for budek.geol.agh.edu.pl (149.156.104.64)
Nmap scan report for adamiec.geol.agh.edu.pl (149.156.104.65)
Nmap scan report for bahranowski.geol.agh.edu.pl (149.156.104.66)
Nmap scan report for porzucek.geol.agh.edu.pl (149.156.104.67)
Nmap scan report for piestrzynski.geol.agh.edu.pl (149.156.104.68)
Nmap scan report for bala.geol.agh.edu.pl (149.156.104.69)
Nmap scan report for 149.156.104.70
Nmap scan report for 149.156.104.71
Nmap scan report for mpawlik.geol.agh.edu.pl (149.156.104.72)
Nmap scan report for paulo.geol.agh.edu.pl (149.156.104.73)
Nmap scan report for jakobczak.geol.agh.edu.pl (149.156.104.74)
Nmap scan report for basia.geol.agh.edu.pl (149.156.104.75)
Nmap scan report for ossowski.geol.agh.edu.pl (149.156.104.76)
Nmap scan report for msass.geol.agh.edu.pl (149.156.104.77)
Nmap scan report for magiera.geol.agh.edu.pl (149.156.104.78)
Nmap scan report for szewczyk.geol.agh.edu.pl (149.156.104.79)
Nmap scan report for bojdys.geol.agh.edu.pl (149.156.104.80)
Nmap scan report for ewat.geol.agh.edu.pl (149.156.104.81)
Nmap scan report for tomasz.geol.agh.edu.pl (149.156.104.82)
Nmap scan report for kajot.geol.agh.edu.pl (149.156.104.83)
Nmap scan report for medon.geol.agh.edu.pl (149.156.104.84)
Nmap scan report for kasina.geol.agh.edu.pl (149.156.104.85)
Nmap scan report for klapyta.geol.agh.edu.pl (149.156.104.86)
Nmap scan report for labor.geol.agh.edu.pl (149.156.104.87)
Nmap scan report for jakczak.geol.agh.edu.pl (149.156.104.88)
Nmap scan report for 149.156.104.89
Nmap scan report for biblioteka.ptmin.agh.edu.pl (149.156.104.90)
Nmap scan report for bukowski.geol.agh.edu.pl (149.156.104.91)
Nmap scan report for dolik.geol.agh.edu.pl (149.156.104.92)
Nmap scan report for laska.geol.agh.edu.pl (149.156.104.93)
Nmap scan report for bromowicz.geol.agh.edu.pl (149.156.104.94)
Nmap scan report for inzynier.geol.agh.edu.pl (149.156.104.95)
Nmap scan report for krokosz.geol.agh.edu.pl (149.156.104.96)
Nmap scan report for seismic.geol.agh.edu.pl (149.156.104.97)
Nmap scan report for aver.geol.agh.edu.pl (149.156.104.98)
Nmap scan report for ucirtr.agh.edu.pl (149.156.104.99)
Nmap scan report for kwiecinska.geol.agh.edu.pl (149.156.104.100)
Nmap scan report for kusmierek.geol.agh.edu.pl (149.156.104.101)
Nmap scan report for przystas.geol.agh.edu.pl (149.156.104.102)
Nmap scan report for malem.geol.agh.edu.pl (149.156.104.103)
Nmap scan report for dabrowska.geol.agh.edu.pl (149.156.104.104)
Nmap scan report for glowniak.geol.agh.edu.pl (149.156.104.105)
Nmap scan report for alsite1.geol.agh.edu.pl (149.156.104.106)
Nmap scan report for jkarcz.geol.agh.edu.pl (149.156.104.107)
Nmap scan report for pcminer.geol.agh.edu.pl (149.156.104.108)
Nmap scan report for geos.geol.agh.edu.pl (149.156.104.109)
Nmap scan report for tango.geol.agh.edu.pl (149.156.104.110)
Nmap scan report for witczak.geol.agh.edu.pl (149.156.104.111)
Nmap scan report for geofizyk.geol.agh.edu.pl (149.156.104.112)
Nmap scan report for czepiec.geol.agh.edu.pl (149.156.104.113)
Nmap scan report for felisiak.geol.agh.edu.pl (149.156.104.114)
Nmap scan report for barwicz.geol.agh.edu.pl (149.156.104.115)
Nmap scan report for tsokol.geol.agh.edu.pl (149.156.104.116)
Nmap scan report for walex.geol.agh.edu.pl (149.156.104.117)
Nmap scan report for staszowska.geol.agh.edu.pl (149.156.104.118)
Nmap scan report for somlenska.geol.agh.edu.pl (149.156.104.119)
Nmap scan report for dell1.geol.agh.edu.pl (149.156.104.120)
Nmap scan report for akrawczyk.geol.agh.edu.pl (149.156.104.121)
Nmap scan report for zawisza-pc.wnaft.agh.edu.pl (149.156.104.122)
Nmap scan report for szafran-pc.wnaft.agh.edu.pl (149.156.104.123)
Nmap scan report for winid-pc.wnaft.agh.edu.pl (149.156.104.124)
Nmap scan report for wojna-pc.wnaft.agh.edu.pl (149.156.104.125)
Nmap scan report for cicha.geol.agh.edu.pl (149.156.104.126)
Nmap scan report for muszynski.geol.agh.edu.pl (149.156.104.127)
Nmap scan report for goscinski.geol.agh.edu.pl (149.156.104.128)
Nmap scan report for strzelska.geol.agh.edu.pl (149.156.104.129)
Nmap scan report for wolkowska-pc.wnaft.agh.edu.pl (149.156.104.130)
Nmap scan report for semyrka.geol.agh.edu.pl (149.156.104.131)
Nmap scan report for marszalek.geol.agh.edu.pl (149.156.104.132)
Nmap scan report for wozniak.geol.agh.edu.pl (149.156.104.133)
Nmap scan report for kszydlow.geol.agh.edu.pl (149.156.104.134)
Nmap scan report for bfnagh1.geol.agh.edu.pl (149.156.104.135)
Nmap scan report for 149.156.104.136
Nmap scan report for lagan.geol.agh.edu.pl (149.156.104.137)
Nmap scan report for tslomka.geol.agh.edu.pl (149.156.104.138)
Nmap scan report for ajoniec.geol.agh.edu.pl (149.156.104.139)
Nmap scan report for bigzbig.geol.agh.edu.pl (149.156.104.140)
Nmap scan report for molenda.geol.agh.edu.pl (149.156.104.141)
Nmap scan report for wagner.geol.agh.edu.pl (149.156.104.142)
Nmap scan report for dell2.geol.agh.edu.pl (149.156.104.143)
Nmap scan report for wilk.geol.agh.edu.pl (149.156.104.144)
Nmap scan report for kulma.geol.agh.edu.pl (149.156.104.145)
Nmap scan report for jarzyna.geol.agh.edu.pl (149.156.104.146)
Nmap scan report for gawin.geol.agh.edu.pl (149.156.104.147)
Nmap scan report for antoniuk.geol.agh.edu.pl (149.156.104.148)
Nmap scan report for radomin.geol.agh.edu.pl (149.156.104.149)
Nmap scan report for 149.156.104.150
Nmap scan report for postaw.geol.agh.edu.pl (149.156.104.151)
Nmap scan report for tobola.geol.agh.edu.pl (149.156.104.152)
Nmap scan report for jamat.geol.agh.edu.pl (149.156.104.153)
Nmap scan report for krol.geol.agh.edu.pl (149.156.104.154)
Nmap scan report for rutkowski.geol.agh.edu.pl (149.156.104.155)
Nmap scan report for alsite.geol.agh.edu.pl (149.156.104.156)
Nmap scan report for kpasierb.geol.agh.edu.pl (149.156.104.157)
Nmap scan report for zubel.geol.agh.edu.pl (149.156.104.158)
Nmap scan report for majewski.geol.agh.edu.pl (149.156.104.159)
Nmap scan report for mortimer.geol.agh.edu.pl (149.156.104.160)
Nmap scan report for kania.geol.agh.edu.pl (149.156.104.161)
Nmap scan report for dlugi.geol.agh.edu.pl (149.156.104.162)
Nmap scan report for ehr.geol.agh.edu.pl (149.156.104.163)
Nmap scan report for wardas.geol.agh.edu.pl (149.156.104.164)
Nmap scan report for papiernik.geol.agh.edu.pl (149.156.104.165)
Nmap scan report for tomecka.geol.agh.edu.pl (149.156.104.166)
Nmap scan report for galas.geol.agh.edu.pl (149.156.104.167)
Nmap scan report for eslomka.geol.agh.edu.pl (149.156.104.168)
Nmap scan report for gagat.geol.agh.edu.pl (149.156.104.169)
Nmap scan report for gawel.geol.agh.edu.pl (149.156.104.170)
Nmap scan report for ggios.geol.agh.edu.pl (149.156.104.171)
Nmap scan report for zubrzycki-pc.wnaft.agh.edu.pl (149.156.104.172)
Nmap scan report for kmirek.geol.agh.edu.pl (149.156.104.173)
Nmap scan report for bauer.geol.agh.edu.pl (149.156.104.174)
Nmap scan report for kasin1.geol.agh.edu.pl (149.156.104.175)
Nmap scan report for karw.geol.agh.edu.pl (149.156.104.176)
Nmap scan report for swagh.geol.agh.edu.pl (149.156.104.177)
Nmap scan report for snet.geol.agh.edu.pl (149.156.104.178)
Nmap scan report for szafir.geol.agh.edu.pl (149.156.104.179)
Nmap scan report for rajchel.geol.agh.edu.pl (149.156.104.180)
Nmap scan report for zurek.geol.agh.edu.pl (149.156.104.181)
Nmap scan report for glogowska.geol.agh.edu.pl (149.156.104.182)
Nmap scan report for kulula.geol.agh.edu.pl (149.156.104.183)
Nmap scan report for gisserver.geol.agh.edu.pl (149.156.104.184)
Nmap scan report for 149.156.104.185
Nmap scan report for bip-2.geol.agh.edu.pl (149.156.104.186)
Nmap scan report for mczuj.geol.agh.edu.pl (149.156.104.187)
Nmap scan report for maja.geol.agh.edu.pl (149.156.104.188)
Nmap scan report for teresa.geol.agh.edu.pl (149.156.104.189)
Nmap scan report for 149.156.104.190
Nmap scan report for bibl-geol.geol.agh.edu.pl (149.156.104.191)
Nmap scan report for krajewski.geol.agh.edu.pl (149.156.104.192)
Nmap scan report for wmsg.gorn.agh.edu.pl (149.156.104.193)
Nmap scan report for wmsgl.gorn.agh.edu.pl (149.156.104.194)
Nmap scan report for wmsg1.gorn.agh.edu.pl (149.156.104.195)
Nmap scan report for wmsg2.gorn.agh.edu.pl (149.156.104.196)
Nmap scan report for wmsg3.gorn.agh.edu.pl (149.156.104.197)
Nmap scan report for wmsg4.gorn.agh.edu.pl (149.156.104.198)
Nmap scan report for sps.geol.agh.edu.pl (149.156.104.199)
Nmap scan report for wmsg6.gorn.agh.edu.pl (149.156.104.200)
Nmap scan report for wmsg7.gorn.agh.edu.pl (149.156.104.201)
Nmap scan report for wmsg8.gorn.agh.edu.pl (149.156.104.202)
Nmap scan report for wmsg9.gorn.agh.edu.pl (149.156.104.203)
Nmap scan report for wmsg10.gorn.agh.edu.pl (149.156.104.204)
Nmap scan report for wmsg11.gorn.agh.edu.pl (149.156.104.205)
Nmap scan report for wmsg12.gorn.agh.edu.pl (149.156.104.206)
Nmap scan report for wmsg13.gorn.agh.edu.pl (149.156.104.207)
Nmap scan report for wmsg14.gorn.agh.edu.pl (149.156.104.208)
Nmap scan report for wmsg15.gorn.agh.edu.pl (149.156.104.209)
