
Starting Nmap 6.40 ( http://nmap.org ) at 2022-10-27 11:04 CEST
Nmap scan report for 149.156.110.0
Nmap scan report for mms.ftj.agh.edu.pl (149.156.110.1)
Nmap scan report for newton.fis.agh.edu.pl (149.156.110.2)
Nmap scan report for orion.fis.agh.edu.pl (149.156.110.3)
Nmap scan report for origin.ftj.agh.edu.pl (149.156.110.4)
Nmap scan report for auriga.fis.agh.edu.pl (149.156.110.5)
Nmap scan report for cluster06.fis.agh.edu.pl (149.156.110.6)
Nmap scan report for admin1.fis.agh.edu.pl (149.156.110.7)
Nmap scan report for admin2.fis.agh.edu.pl (149.156.110.8)
Nmap scan report for router-lan110.fis.agh.edu.pl (149.156.110.9)
Nmap scan report for host110-10.fis.agh.edu.pl (149.156.110.10)
Nmap scan report for host110-11.fis.agh.edu.pl (149.156.110.11)
Nmap scan report for host110-12.fis.agh.edu.pl (149.156.110.12)
Nmap scan report for host110-13.fis.agh.edu.pl (149.156.110.13)
Nmap scan report for host110-14.fis.agh.edu.pl (149.156.110.14)
Nmap scan report for host110-15.fis.agh.edu.pl (149.156.110.15)
Nmap scan report for host110-16.fis.agh.edu.pl (149.156.110.16)
Nmap scan report for host110-17.fis.agh.edu.pl (149.156.110.17)
Nmap scan report for host110-18.fis.agh.edu.pl (149.156.110.18)
Nmap scan report for host110-19.fis.agh.edu.pl (149.156.110.19)
Nmap scan report for host110-20.fis.agh.edu.pl (149.156.110.20)
Nmap scan report for dell-r900.fis.agh.edu.pl (149.156.110.21)
Nmap scan report for kfcsr810.fis.agh.edu.pl (149.156.110.22)
Nmap scan report for rekrut23.fis.agh.edu.pl (149.156.110.23)
Nmap scan report for rekrut24.fis.agh.edu.pl (149.156.110.24)
Nmap scan report for gemini-1.fis.agh.edu.pl (149.156.110.25)
Nmap scan report for gemini-2.fis.agh.edu.pl (149.156.110.26)
Nmap scan report for host110-27.fis.agh.edu.pl (149.156.110.27)
Nmap scan report for host110-28.fis.agh.edu.pl (149.156.110.28)
Nmap scan report for host110-29.fis.agh.edu.pl (149.156.110.29)
Nmap scan report for host110-30.fis.agh.edu.pl (149.156.110.30)
Nmap scan report for machedu1.fis.agh.edu.pl (149.156.110.31)
Nmap scan report for machedu2.fis.agh.edu.pl (149.156.110.32)
Nmap scan report for machedu3bis.fis.agh.edu.pl (149.156.110.33)
Nmap scan report for host110-34.fis.agh.edu.pl (149.156.110.34)
Nmap scan report for host110-35.fis.agh.edu.pl (149.156.110.35)
Nmap scan report for host110-36.fis.agh.edu.pl (149.156.110.36)
Nmap scan report for host110-37.fis.agh.edu.pl (149.156.110.37)
Nmap scan report for host110-38.fis.agh.edu.pl (149.156.110.38)
Nmap scan report for host110-39.fis.agh.edu.pl (149.156.110.39)
Nmap scan report for host110-40.fis.agh.edu.pl (149.156.110.40)
Nmap scan report for host110-41.fis.agh.edu.pl (149.156.110.41)
Nmap scan report for host110-42.fis.agh.edu.pl (149.156.110.42)
Nmap scan report for host110-43.fis.agh.edu.pl (149.156.110.43)
Nmap scan report for host110-44.fis.agh.edu.pl (149.156.110.44)
Nmap scan report for host110-45.fis.agh.edu.pl (149.156.110.45)
Nmap scan report for host110-46.fis.agh.edu.pl (149.156.110.46)
Nmap scan report for host110-47.fis.agh.edu.pl (149.156.110.47)
Nmap scan report for host110-48.fis.agh.edu.pl (149.156.110.48)
Nmap scan report for host110-49.fis.agh.edu.pl (149.156.110.49)
Nmap scan report for host110-50.fis.agh.edu.pl (149.156.110.50)
Nmap scan report for host110-51.fis.agh.edu.pl (149.156.110.51)
Nmap scan report for host110-52.fis.agh.edu.pl (149.156.110.52)
Nmap scan report for host110-53.fis.agh.edu.pl (149.156.110.53)
Nmap scan report for host110-54.fis.agh.edu.pl (149.156.110.54)
Nmap scan report for host110-55.fis.agh.edu.pl (149.156.110.55)
Nmap scan report for apc.ftj.agh.edu.pl (149.156.110.56)
Nmap scan report for host110-57.fis.agh.edu.pl (149.156.110.57)
Nmap scan report for host110-58.fis.agh.edu.pl (149.156.110.58)
Nmap scan report for host110-59.fis.agh.edu.pl (149.156.110.59)
Nmap scan report for host110-60.fis.agh.edu.pl (149.156.110.60)
Nmap scan report for host110-61.fis.agh.edu.pl (149.156.110.61)
